unit code,surgery type,cat,total period 1,total period 2,total period 3,total period 4,total period 5,total period 6,total period 7,total period 8,total period 9,total period 10,total period 11,total period 12,total period 13,total period 14,total period 15,total period 16,total period 17,total period 18,total period 19,total period 20,total period 21,total period 22,total period 23,total period 24,total period 25,total period 26,total period 27,total period 28,overdue period 1,overdue period 2,overdue period 3,overdue period 4,overdue period 5,overdue period 6,overdue period 7,overdue period 8,overdue period 9,overdue period 10,overdue period 11,overdue period 12,overdue period 13,overdue period 14,overdue period 15,overdue period 16,overdue period 17,overdue period 18,overdue period 19,overdue period 20,overdue period 21,overdue period 22,overdue period 23,overdue period 24,overdue period 25,overdue period 26,overdue period 27,overdue period 28
21,ENT3cluster-1,3,60,60,60,60,62,63,63,65,65,65,66,66,66,66,66,66,66,66,66,67,67,67,67,67,67,67,67,67,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,14,14,14,14,14,14,14,14,14,14,14,14,14
21,ENT3cluster-2,3,58,58,58,58,58,58,58,59,55,55,56,56,51,51,52,52,54,54,54,54,55,55,56,57,58,47,47,47,15,16,16,16,18,18,18,18,14,14,14,14,9,9,9,9,9,10,10,11,11,11,11,11,11,0,0,0
21,ENT3cluster-3,3,76,73,74,74,74,71,71,71,70,70,70,68,68,68,68,63,63,63,63,65,66,66,66,66,66,66,62,62,18,14,14,14,14,11,11,11,11,11,11,8,8,8,8,3,3,3,3,3,3,3,4,4,5,5,1,1
22,PLS1cluster-1,1,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,PLS1cluster-2,1,2,2,3,2,2,3,3,3,3,3,3,3,3,4,4,4,4,3,3,3,3,4,6,6,6,6,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,PLS1cluster-3,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,PLS2cluster-1,2,23,24,24,24,24,24,25,25,25,25,25,25,28,28,30,30,30,30,30,30,30,31,32,32,32,32,32,32,6,7,7,7,7,8,8,8,8,8,8,9,9,9,9,9,9,10,10,10,10,10,10,10,10,11,11,11
22,PLS2cluster-2,2,20,22,22,22,18,15,16,16,16,16,16,14,13,13,14,14,14,14,14,14,14,14,14,14,14,14,14,14,8,8,8,8,4,0,0,1,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
22,PLS2cluster-3,2,16,16,17,17,18,18,19,19,19,19,19,19,20,23,24,24,24,24,24,24,24,24,24,25,18,15,15,15,6,6,6,6,6,6,6,6,6,6,6,7,7,7,7,7,7,8,8,8,8,8,8,9,2,0,0,0
22,PLS3cluster-1,3,53,54,55,55,55,55,55,56,56,56,56,58,58,59,59,61,61,61,61,61,61,61,61,61,61,61,61,61,10,10,10,10,10,10,11,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12
22,PLS3cluster-2,3,75,75,75,76,76,76,76,77,77,77,67,67,68,68,68,68,70,70,70,70,72,72,72,75,75,74,64,64,12,12,12,13,15,15,16,16,16,16,6,6,7,7,7,7,8,8,8,8,8,8,9,9,9,8,0,0
22,PLS3cluster-3,3,74,74,76,74,74,74,74,74,74,74,75,75,72,72,72,72,72,67,67,63,64,64,66,66,66,66,66,66,12,12,12,10,10,10,10,10,10,10,10,10,6,7,7,7,7,2,2,0,0,0,0,0,0,0,0,0
23,URO1cluster-1,1,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,URO1cluster-2,1,2,2,2,0,0,0,1,2,2,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,URO1cluster-3,1,1,1,1,1,1,1,2,2,2,2,2,3,3,3,3,3,2,2,2,2,3,3,3,3,4,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,URO2cluster-1,2,20,23,23,23,24,25,26,28,28,28,29,30,31,31,31,31,33,33,33,33,34,34,38,36,38,34,34,34,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2,3,0,0,0
23,URO2cluster-2,2,23,24,24,24,24,26,27,27,27,27,27,27,28,28,29,30,30,30,30,30,31,31,31,31,31,31,31,31,5,5,5,5,5,5,5,5,6,6,7,7,7,7,7,7,7,8,8,8,8,8,8,8,9,9,10,10
23,URO2cluster-3,2,17,19,19,19,19,19,20,22,22,14,6,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,7,7,7,7,7,7,7,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,URO3cluster-1,3,64,64,64,64,65,65,66,66,66,66,66,66,66,66,66,66,66,66,66,68,68,68,68,68,68,68,68,68,13,14,14,14,14,14,14,15,15,16,16,16,16,16,16,16,16,16,16,17,17,17,17,17,17,17,17,17
23,URO3cluster-2,3,68,68,68,68,68,68,68,68,68,68,68,70,73,73,73,73,73,73,69,66,68,69,69,70,64,64,64,64,11,11,11,11,11,11,11,11,11,11,11,12,12,12,12,12,12,12,8,5,5,5,5,5,0,0,0,0
23,URO3cluster-3,3,45,45,45,45,45,46,47,48,48,48,48,48,49,49,50,51,51,51,51,51,51,51,51,51,52,52,52,52,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,6,6,6,6,6,6
